bnf_code,bnf_name,items
0906040G0BRABBW,Calcichew D3 Forte chewable tablets,840864
0906040G0AABYBY,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tab,1571449
21010900607,BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,446581
0407020Q0AAABAB,Morphine sulfate 10mg/1ml solution for injection ampoules,215700
21220000215,Zerocream,373162
21010900631,FreeStyle lancets 0.5mm/28gauge,41171
0301011U0BBAFAH,Serevent 25micrograms/dose Evohaler,47902
1304000F0AABBBB,Betamethasone valerate 0.025% ointment,126823
20120000205,Non-woven fabric swab 4ply non-sterile 10cm x 10cm,117422
0601040I0BBABAD,GlucoGel 40% gel original,112904
0204000V0AAAAAA,Timolol 10mg tablets,14743
0803041C0AAAAAA,Exemestane 25mg tablets,148146
040201060AAAVAV,Olanzapine 20mg orodispersible tablets sugar free,11769
0206020C0BBADAE,Tildiem LA 300 capsules,100529
0401010D0AAACAC,Clomethiazole 157.5mg/5ml oral solution sugar free,854
1002010Q0AAABAB,Pyridostigmine bromide 60mg tablets,69050
21220000216,Zeroguent cream,4240
0403030Z0AAAAAA,Citalopram 40mg/ml oral drops sugar free,64982
1304000G0BBAAAA,Dermovate 0.05% cream,121035
0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension,15105
21300000150,NaCl 5% eye drops 0.45ml unit dose preservative free,2003
22501005007,Conveen Active non-sterile leg bag,2755
21270002557,Haddenham Star Cotton MTO class 1 (18-21mmHg) thigh length closed toe with grip top,72
21180000103,SomaCorrect Xtra vacuum pump,2245
0408010AKAAADAD,Perampanel 8mg tablets,10605
1306020C0AAAAAA,Co-cyprindiol 2000microgram/35microgram tablets,38075
1304000V0AACBCB,Generic Timodine cream,50
1304000Y0BBACBB,Elocon 0.1% scalp lotion,7867
21200000031,Activa Leg Ulcer Hosiery Kit (40mmHg) medical stocking and compression liner medium,2121
0105010B0AAAXAX,Mesalazine 1g gast res MR gran sachets sugar free,4280
090900000BBKMA0,TwoCal liquid,8218
0402010D0AAAHAH,Chlorpromazine 10mg tablets,233
0605020E0BBAEAD,DDAVP 0.1mg tablets,3861
20031600127,Aquacel Ag Foam dressing (non-adhesive) 10cm x 10cm,578
090402000BBSNA0,Osmolite 1.5kcal tube feed liquid,5277
0607020P0AAAAAA,Nafarelin 200micrograms/dose nasal spray,765
0406000F0AAABAB,Cyclizine 50mg suppositories,38
090402000BBNCA0,Tentrini Multifibre liquid,1973
21011200230,"Ring pessary 7.5mm thick, 50-80mm diameter, polythene",13219
21070630172,medi Big Butler compression hosiery applicator,1276
0406000L0BBAAAT,Kwells 300microgram tablets,3006
21012600159,NovoPen 6 hypodermic insulin inj pen reusable for 3ml cartridge 1 unit dial up/range 1-60 unit blue,817
20200000332,DermaSilk thigh length undersocks longer length,64
21270000794,ActiLymph MTM Ease class 1 (18-21mmHg) below knee open toe,1384
23303243011,Nu-Hope belt medium 125mm,92
21270002835,Mediven Cosy MTM closed toe for lymphoedema garment,853
0802010N0BBABAB,Myfortic 360mg gastro-resistant tablets,2140
0206030Z0BBACAC,Ranexa 750mg modified-release tablets,506
0906040G0BIAGBT,"Pro D3 2,000units/ml liquid drops",5185
20030600175,Biatain Non-Adhesive dressing 10cm x 10cm square,6208
190205500BCPDA0,Aveeno Skin Relief Soothing shampoo,2340
20090000845,Tubifast 2-way stretch stockinette leggings 2-5 years,381
0801030P0BEAGFK,Zlatal 15mg/0.6ml solution for injection pre-filled syringes,289
23941010010,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 50mm transparent",45
090402000BBTWA0,Fresubin YOcreme dessert apricot-peach,854
1304000V0AABDBD,Hydrocortisone 2.5% ointment,4353
23351003803,"SenSura colostomy bag with dual filter, maxi 10-65/76mm transparent",3233
22605056011,Unomedical A4 drainable night drainage bag,1178
23965609654,Welland Aura convex urostomy bag maxi 35mm beige,212
21020001471,VaPro Plus Pocket catheter female 8Ch-14Ch,1799
20030500020,GranuGEL Hydrocolloid Gel dressing,773
1108020U0BCAAAB,Moxivig 0.5% eye drops,502
0205052N0AAAJAJ,Losartan 50mg/5ml oral suspension,1547
0402020G0AAAHAH,Flupentixol 50mg/0.5ml solution for injection ampoules,1621
23601006271,"Assura Inspire Seal convex ileostomy bag with filter and Hide-Away outlet, midi opaque 15-43mm",261
23804708002,Secura barrier film foam 3ml applicator,299
20030400181,Comfeel Plus Transparent dressing 5cm x 15cm rectangular,51
0902012L0BCABDD,SodiClor 292.5mg/5ml (1mmol/ml) oral solution,1132
20030200055,Biatain Alginate dressing 15cm x 15cm,461
1203020C0AAAAAA,Amphotericin B 10mg lozenges sugar free,55
0601060D0EYAAA0,GlucoMen Day glucose testing strips,72
20090000451,Elasticated tubular bandage BP 6.25cm size B,1189
090402000BBTKA0,Peptamen AF liquid,1579
23303373091,HiLINE breathable stretch unisex ostomy belt small-XX large 13.5cm,1238
22502955032,Comfort sterile leg bag with swing tap 45cm inlet 600ml,346
20020200934,Actico bandage 12cm x 6m,1238
0906040G0AADADA,Colecalciferol 200units/drop oral drops sugar free,929
0407010H0BEATAW,Calpol Infant Sugar Free Colour Free 120mg/5ml susp,204
23605606258,"Welland FreeStyle Vie ileostomy bag with Dual Carb filter, medium 32mm",56
20030600433,PolyMem dressing 8.8cm x 12.7cm oval,157
23944809886,Combihesive Natura two piece ostomy system stomahesive flange with flexible hydrocolloid collar 38mm,325
0503021E0AAABAB,Famciclovir 125mg tablets,744
21020000854,Self-Cath catheter male coude olive tip 10Ch-16Ch,121
0904010K0BBAAAF,Dextro Energy tablets,551
20031700187,Durafiber Ag dressing 2cm x 45cm rectangular,423
130801000BBPHA0,Ultrasun anti-ageing face cream SPF 30,122
22501755011,Flexicare Discreet sterile leg bag short tube 500ml,102
1304000L0AAACAC,Diflucortolone 0.3% oily cream,152
23355603790,"Welland FreeStyle Vie colostomy bag with Dual Carb filter, large 32mm beige",42
22303953059,Freedom Plus sheath large,114
0310000N0AAALAL,Pseudoephedrine 30mg/5ml / Chlorphenamine 2mg/5ml soln SF,1648
23300263585,Suportx female low waist ostomy girdle large skin,163
22802408003,Euro J-strap,1533
23941009690,Assura Soft Seal two piece ostomy system convex baseplate 60mm flange 15-43mm,246
23601006393,"SenSura Mio Concave ileostomy bag with filter, mini 10-40mm",49
23851008502,Brava Coloplast protective sheet 20cm x 20cm,164
23944809606,Combihesive Natura two piece ostomy system convex durahesive flange 32mm/45mm,422
1203010Q0BBAAAA,Medijel oromucosal gel,114
20100000601,Omnifix tape 5cm,119
0802020G0BGACAC,Capsorin 25mg capsules,224
23604806241,"Esteem+ convex ileostomy bag with filter and InvisiClose outlet, standard 19mm opaque",92
